camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,9412,21310,0.441670577,1597.398381,179,203,1377,24,TRUE,182.014328,134.0535583,25.08733559,0.676437509,raspiU_cameraA.2023.05.23-20.30.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,26748,61281.5,0.436477567,2799.505499,342,322,2354,27,TRUE,287.8562927,249.9196777,65.362854,0.49619714,raspiU_cameraA.2023.05.26-16.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,30177,61378.5,0.491654244,3099.317548,279,272,2136,31,TRUE,264.641571,237.7403259,54.78612137,0.439283727,raspiU_cameraA.2023.05.24-11.30.02_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,11137,37190.5,0.299458195,2383.732385,254,221,2059,21,TRUE,204.0206604,141.8526001,41.852108,0.718733692,raspiU_cameraA.2023.05.21-11.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,30349,58142,0.521980668,2602.852032,276,316,2063,30,TRUE,270.2785034,224.6722565,158.4993134,0.555880782,raspiU_cameraA.2023.05.26-16.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,13065,30642,0.426375563,2099.151344,257,187,1737,22,TRUE,224.2823792,158.5068054,104.0697556,0.707484611,raspiU_cameraA.2023.05.22-20.00.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,6566,13783.5,0.47636667,1188.386424,119,188,1208,27,TRUE,174.3322144,90.8479538,160.5686035,0.853483593,raspiU_cameraA.2023.05.18-17.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,4070,7033.5,0.578659273,805.2859906,101,121,840,23,TRUE,112.2438431,72.88661957,34.99253082,0.76048148,raspiU_cameraA.2023.05.18-12.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,12807,29147,0.43939342,1944.554773,214,202,1367,22,TRUE,202.4520569,160.2881317,112.8649063,0.610866291,raspiU_cameraA.2023.05.21-21.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,22920,51677,0.443524198,2523.789068,251,279,2071,29,TRUE,285.3038635,210.1539764,54.06782913,0.676331891,raspiU_cameraA.2023.05.26-16.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,35285,70022,0.503913056,3419.22564,296,341,2297,29,TRUE,307.2150269,245.9895325,159.1487579,0.599054826,raspiU_cameraA.2023.05.26-17.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10392,25269,0.411254897,1661.038683,191,193,1357,24,TRUE,173.6402435,158.5101776,157.7263947,0.408260561,raspiU_cameraA.2023.05.23-14.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,2691,10598.5,0.253903854,692.2701827,89,226,1538,14,TRUE,155.8040314,72.33550262,10.3147583,0.885692493,raspiU_cameraA.2023.05.18-18.30.02_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,31570,79168,0.398772231,3228.837821,376,354,2573,30,TRUE,358.9070129,255.9841309,55.30824661,0.700927572,raspiU_cameraA.2023.05.30-20.30.02_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,75154,125888,0.596990976,4519.372958,408,424,2774,31,TRUE,348.3928528,341.187439,8.787623405,0.202326443,raspiU_cameraA.2023.05.30-09.30.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,56467,99593,0.566977599,3674.779123,374,352,2773,39,TRUE,337.7156982,298.3109436,42.57965088,0.468770981,raspiU_cameraA.2023.05.27-20.30.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,21238,48359.5,0.439169139,2476.51561,246,274,2030,27,TRUE,274.5126343,195.9957886,45.09849548,0.700168851,raspiU_cameraA.2023.05.26-11.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,16685,38133.5,0.437541794,2129.731271,229,250,1741,29,TRUE,215.7368011,190.7455902,41.04848862,0.467186499,raspiU_cameraA.2023.05.25-20.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,49766,96794.5,0.514140783,3676.772377,354,392,2639,30,TRUE,345.1987,296.4620361,156.3513184,0.512284811,raspiU_cameraA.2023.05.30-10.00.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,17528,38869.5,0.450944828,2180.832988,221,224,1841,30,TRUE,215.1532745,193.1288452,134.7887268,0.440742116,raspiU_cameraA.2023.05.22-09.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5045,11292.5,0.446756697,1224.642231,137,108,961,23,TRUE,127.4829178,99.73478699,101.5699615,0.622853567,raspiU_cameraA.2023.05.20-09.30.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,9253,16510.5,0.560431241,1108.879921,185,153,1318,23,TRUE,179.7143097,104.065506,128.9524078,0.815284385,raspiU_cameraA.2023.05.23-14.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,24266,44588,0.544227146,2392.539919,243,236,1749,28,TRUE,244.6137543,211.4069977,128.7458496,0.503065645,raspiU_cameraA.2023.05.27-17.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,22749,53534.5,0.424940926,2590.388512,251,285,2129,26,TRUE,287.2817078,210.4762726,49.73945236,0.680608109,raspiU_cameraA.2023.05.26-14.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,11158,25106,0.444435593,1761.658585,177,189,1381,29,TRUE,193.7769928,153.3270264,51.79812241,0.611486245,raspiU_cameraA.2023.05.20-19.30.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10434,24493,0.425999265,1809.296279,244,152,1621,22,TRUE,219.2430115,130.1730957,89.96109772,0.804657794,raspiU_cameraA.2023.05.21-19.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,36097,96068,0.375744264,3949.118752,365,341,2814,28,TRUE,342.130127,327.1877441,22.2194519,0.292304042,raspiU_cameraA.2023.05.30-15.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,34499,79678,0.432980245,3726.482928,376,357,2586,33,TRUE,342.9171143,262.6345825,53.95717621,0.642979286,raspiU_cameraA.2023.05.31-13.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,40079,86312,0.464350264,3493.082352,301,409,2663,32,TRUE,363.7537231,253.6416016,15.93121719,0.71678975,raspiU_cameraA.2023.05.27-15.00.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,29325,76410.5,0.383782334,3441.822386,370,348,2516,30,TRUE,353.8883972,252.5250092,54.78263474,0.700581447,raspiU_cameraA.2023.05.29-09.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,29659,61507.5,0.482201358,2644.180007,280,338,2065,28,TRUE,324.5816345,215.7279968,16.15331841,0.747169069,raspiU_cameraA.2023.05.28-15.30.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,68614,125216,0.547965116,4932.206308,424,411,2837,32,TRUE,381.004425,353.7167358,58.22476959,0.371633311,raspiU_cameraA.2023.05.30-12.00.02_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,31600,61331.5,0.515232792,2788.741325,256,281,2091,31,TRUE,277.5993347,245.7259369,139.8419037,0.465244893,raspiU_cameraA.2023.05.25-17.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,37920,75872.5,0.499785825,3019.327662,346,383,2638,30,TRUE,309.6958008,279.7276306,173.9719849,0.429149385,raspiU_cameraA.2023.05.26-14.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,62572,107888,0.579971823,4015.035355,376,402,2803,29,TRUE,346.5005798,305.4650879,26.25289154,0.472050237,raspiU_cameraA.2023.05.28-11.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,2618,4436,0.590171326,406.232536,88,82,674,20,TRUE,82.00617981,62.03831482,52.38591766,0.653984668,raspiU_cameraA.2023.05.18-20.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,72368,115975,0.623996551,4349.895612,380,423,2769,34,TRUE,358.7376709,326.6566162,1.710314155,0.41334965,raspiU_cameraA.2023.05.29-16.30.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10801,41536,0.260039484,2258.103791,274,243,1825,21,TRUE,236.19664,204.6944122,126.752121,0.498956358,raspiU_cameraA.2023.05.29-11.30.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,38073,69849.5,0.545071905,3446.55881,289,316,2262,32,TRUE,293.765686,256.1869812,144.6216278,0.489364538,raspiU_cameraA.2023.05.26-20.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,7560,17349,0.435759986,1464.702616,156,198,1355,22,TRUE,171.3945465,116.1013412,24.39007187,0.735621989,raspiU_cameraA.2023.05.22-15.00.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,69499,132713,0.523678916,4845.165032,412,425,3362,31,TRUE,415.5675964,313.6496887,51.50072479,0.656012403,raspiU_cameraA.2023.05.30-15.30.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,30715,55526,0.553164283,2772.586557,239,367,2238,36,TRUE,344.2094421,204.2554779,175.9638519,0.804904305,raspiU_cameraA.2023.05.26-20.30.02_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,8617,19252,0.447589861,1253.945268,182,168,1158,22,TRUE,182.2089539,146.1904907,121.4317703,0.596889695,raspiU_cameraA.2023.05.19-15.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,36081,79596.5,0.453298826,3853.587221,378,326,2501,29,TRUE,311.4269714,277.9894714,122.5051422,0.450787434,raspiU_cameraA.2023.05.28-12.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,13603,23692,0.574160054,1413.798472,180,172,1505,25,TRUE,185.9441986,146.6640167,124.138237,0.614710453,raspiU_cameraA.2023.05.23-20.00.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,13305,32226.5,0.412858983,1902.624951,231,207,1588,26,TRUE,211.2149353,166.753418,101.9092789,0.613755271,raspiU_cameraA.2023.05.21-12.30.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,25098,52790,0.475430953,2704.20497,308,305,1915,32,TRUE,269.1755676,213.0170288,50.2731781,0.611339604,raspiU_cameraA.2023.05.25-12.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,33367,67919,0.491276373,2394.140587,310,374,2398,29,TRUE,308.1782837,255.2456818,172.407486,0.560373058,raspiU_cameraA.2023.05.25-10.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,32310,76997,0.419626739,3326.830837,368,319,2525,24,TRUE,315.7542419,261.2736816,117.3181763,0.561526173,raspiU_cameraA.2023.05.27-20.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,66876,108594.5,0.615832294,5497.74881,388,371,2776,28,TRUE,332.462677,312.7902832,73.56317139,0.338883723,raspiU_cameraA.2023.05.30-19.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,21157,51140,0.41370747,3327.398704,309,233,2081,30,TRUE,270.2288208,197.4187469,89.15195465,0.682847006,raspiU_cameraA.2023.05.24-10.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,56537,107804,0.524442507,4656.19756,347,416,2915,39,TRUE,377.2844543,298.4165344,166.1238098,0.611869154,raspiU_cameraA.2023.05.31-14.00.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,4358,7503.5,0.580795629,684.834628,105,97,894,23,TRUE,110.2049789,76.22081757,47.57679367,0.722254184,raspiU_cameraA.2023.05.19-10.30.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,18267,40610,0.449815316,2104.531084,244,252,1719,26,TRUE,224.3899536,196.8308868,156.2956238,0.480157559,raspiU_cameraA.2023.05.23-11.00.02_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,7827,13768,0.568492156,1066.873211,140,153,1059,25,TRUE,144.8474731,105.6332092,30.17727089,0.684223883,raspiU_cameraA.2023.05.20-14.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,15696,37751,0.415777066,2125.976067,250,234,1661,25,TRUE,210.6277161,192.9787903,91.70664215,0.400703097,raspiU_cameraA.2023.05.22-11.30.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,15693,33636.5,0.466546757,1870.999441,209,252,1837,27,TRUE,227.9689484,164.4710236,147.8599396,0.692453617,raspiU_cameraA.2023.05.25-12.00.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,49938,80416.5,0.620991961,3450.821499,329,338,2561,29,TRUE,320.2395325,273.2807922,122.6831055,0.521316023,raspiU_cameraA.2023.05.28-13.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,33807,64005,0.52819311,3188.626171,301,304,2278,25,TRUE,288.2506409,229.9764862,44.08641052,0.602875703,raspiU_cameraA.2023.05.26-09.30.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,2246,19134,0.11738267,1131.448617,150,198,1669,15,TRUE,314.9253235,139.5213776,117.9866486,0.896506769,raspiU_cameraA.2023.05.31-10.00.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,41758,75686.5,0.551723227,3522.139729,322,325,2576,35,TRUE,315.8434143,258.2652283,48.86663437,0.575644296,raspiU_cameraA.2023.05.27-11.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,31100,59597.5,0.52183397,3479.79171,321,268,2074,32,TRUE,272.8780212,229.9878693,88.05722046,0.538190868,raspiU_cameraA.2023.05.26-14.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10782,31035.5,0.347408613,2110.727097,257,213,1958,21,TRUE,220.1440125,136.7380829,49.74974442,0.783707433,raspiU_cameraA.2023.05.21-11.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,64364,115862,0.55552295,5199.265473,373,407,2869,33,TRUE,351.2746887,328.5230713,24.13298225,0.354037402,raspiU_cameraA.2023.05.30-19.30.02_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,35229,67409,0.522615674,3278.097525,296,346,2191,28,TRUE,311.5325623,245.8908386,155.4537201,0.614015224,raspiU_cameraA.2023.05.26-19.30.02_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,50542,107068,0.472055143,3634.498359,385,418,3107,27,TRUE,389.9750061,281.7134094,41.7807579,0.691487557,raspiU_cameraA.2023.05.28-16.00.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,24842,52462,0.473523693,2373.246459,307,303,2017,26,TRUE,243.923996,237.7440033,134.4807739,0.223672891,raspiU_cameraA.2023.05.25-18.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,4867,7984,0.609594188,749.132432,109,113,966,23,TRUE,126.8729782,72.77721405,140.105896,0.819119683,raspiU_cameraA.2023.05.21-12.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,8148,19102.5,0.426541029,1364.234164,137,212,1334,27,TRUE,204.1944733,106.9071884,162.1408844,0.851991425,raspiU_cameraA.2023.05.19-14.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,4622,8648,0.534458834,836.0413631,121,119,839,26,TRUE,103.7215042,98.03651428,83.33566284,0.326521246,raspiU_cameraA.2023.05.23-10.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,36828,82304.5,0.447460345,4059.64322,380,327,2499,25,TRUE,318.6106873,280.8115845,99.137146,0.472440199,raspiU_cameraA.2023.05.28-11.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10038,24869,0.403635048,1746.562786,245,165,1651,26,TRUE,216.2211304,140.508255,91.58477783,0.760074529,raspiU_cameraA.2023.05.21-09.00.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,9049,21247.5,0.425885398,1446.90597,160,213,1367,24,TRUE,197.178833,131.6309509,36.08363724,0.744545779,raspiU_cameraA.2023.05.20-16.30.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,6502,10956,0.593464768,910.5724162,127,107,991,24,TRUE,126.3511963,98.93876648,75.57595825,0.621964117,raspiU_cameraA.2023.05.20-21.00.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,7888,19342,0.407817185,1625.746025,178,167,1356,19,TRUE,150.7563477,133.1043854,134.4371948,0.46954103,raspiU_cameraA.2023.05.21-15.00.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,36321,74071,0.49035385,2631.453159,275,404,2492,32,TRUE,393.6502075,235.0286255,179.9474487,0.802204461,raspiU_cameraA.2023.05.27-17.30.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,6612,10981.5,0.602103538,912.3401815,160,110,1185,27,TRUE,153.8508911,80.03436279,123.6251984,0.854040001,raspiU_cameraA.2023.05.22-20.00.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,45980,88088.5,0.521975059,3927.272555,367,316,2587,29,TRUE,328.0252075,270.4751892,72.02259827,0.565780188,raspiU_cameraA.2023.05.26-09.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,28518,60942,0.467953136,2742.815487,272,339,2296,34,TRUE,338.087677,211.479248,12.67110252,0.780211347,raspiU_cameraA.2023.05.28-11.00.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5822,13946.5,0.417452407,1206.825017,138,181,1242,22,TRUE,156.8491058,100.8407516,23.64048958,0.76593695,raspiU_cameraA.2023.05.21-13.30.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5586,14665.5,0.380893935,1184.374031,157,156,1073,22,TRUE,162.2133484,135.9076996,145.1306458,0.54592658,raspiU_cameraA.2023.05.18-13.30.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,18178,40076,0.453588182,2143.172626,197,249,1690,28,TRUE,224.328537,193.6494598,8.469332695,0.504793009,raspiU_cameraA.2023.05.23-16.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,53259,81477.5,0.653665122,3623.738063,338,336,2312,31,TRUE,312.8554993,280.9006348,124.0656586,0.440279791,raspiU_cameraA.2023.05.28-19.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,8154,17613,0.4629535,1427.122624,175,157,1129,28,TRUE,169.5795441,138.5003357,120.9348145,0.577023072,raspiU_cameraA.2023.05.19-19.30.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,28176,67509,0.417366573,2813.798334,276,323,2271,33,TRUE,302.1251831,243.5193939,39.27336502,0.591886254,raspiU_cameraA.2023.05.27-14.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,19256,42021.5,0.458241614,2273.993381,227,284,1785,29,TRUE,241.864975,186.8129883,165.9208527,0.635154085,raspiU_cameraA.2023.05.26-18.30.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,62074,103876.5,0.597575005,4493.073337,385,373,2627,30,TRUE,327.1023865,310.3562317,76.34732056,0.315863786,raspiU_cameraA.2023.05.30-10.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5596,9346,0.598758827,710.4236488,104,138,918,23,TRUE,120.5642014,87.81517792,9.507174492,0.685185515,raspiU_cameraA.2023.05.19-18.30.02_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,14961,35513,0.421282347,2100.648492,189,251,1640,24,TRUE,228.8560944,160.5,173.9948425,0.712852417,raspiU_cameraA.2023.05.22-16.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,15297,26907,0.56851377,1841.54964,176,222,1510,30,TRUE,198.9578247,139.6541443,20.48770905,0.71224753,raspiU_cameraA.2023.05.24-19.30.02_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,17983,39707,0.452892437,1910.994955,195,248,1669,24,TRUE,224.2289581,194.2332306,7.364518642,0.499650254,raspiU_cameraA.2023.05.23-17.30.02_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,31283,56990,0.548920863,2542.030618,311,250,2136,30,TRUE,281.09375,218.1837311,79.23916626,0.630492185,raspiU_cameraA.2023.05.26-20.30.02_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,8867,21000,0.422238095,1464.796378,161,211,1363,25,TRUE,190.2730713,130.9594574,32.99822617,0.725453571,raspiU_cameraA.2023.05.20-18.00.02_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,29250,76308.5,0.383312475,3323.331191,371,350,2520,35,TRUE,355.6452637,252.218689,54.89146042,0.705021298,raspiU_cameraA.2023.05.29-11.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,351,483,0.726708075,116.5685415,23,31,219,15,TRUE,28.20244026,20.0973587,17.03460503,0.701559756,raspiU_cameraA.2023.05.19-15.30.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,36339,73850.5,0.492061665,2921.115044,341,379,2567,28,TRUE,311.8874512,273.221405,166.7493744,0.482264525,raspiU_cameraA.2023.05.26-12.30.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,70874,135764.5,0.52203632,5873.479305,446,416,3119,31,TRUE,389.9883118,349.7108765,52.93709183,0.442595388,raspiU_cameraA.2023.05.31-10.00.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,4547,7868,0.577910524,650.862326,135,104,1046,20,TRUE,124.7182007,63.19183731,129.7614136,0.862135993,raspiU_cameraA.2023.05.21-20.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,32198,64515,0.499077734,3258.887617,292,277,2236,30,TRUE,279.7132568,236.0718994,52.30696869,0.53637743,raspiU_cameraA.2023.05.24-15.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,17251,38317.5,0.450212044,2177.316711,235,218,1635,28,TRUE,203.6066895,198.0917358,160.6370697,0.231168659,raspiU_cameraA.2023.05.25-15.00.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,73863,117716,0.627467804,5682.644655,400,386,2893,31,TRUE,340.9733887,332.0315247,79.29079437,0.227511138,raspiU_cameraA.2023.05.31-20.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,3595,12952,0.277563311,865.4465048,186,239,2030,14,TRUE,216.9642334,88.22396851,146.0125275,0.913593336,raspiU_cameraA.2023.05.20-14.00.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,56795,102509,0.554048913,3970.062705,413,379,2652,30,TRUE,343.2450867,313.7094727,100.1150665,0.405822702,raspiU_cameraA.2023.05.29-20.00.01_0
